,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,PTS_away,HOME_TEAM_WINS
348,2014-12-14,1610612752,1610612761,2014,1610612752,90.0,95.0,0
349,2014-12-14,1610612760,1610612756,2014,1610612760,112.0,88.0,1
350,2014-12-14,1610612750,1610612747,2014,1610612750,94.0,100.0,0
351,2014-12-14,1610612764,1610612762,2014,1610612764,93.0,84.0,1
352,2014-12-14,1610612748,1610612741,2014,1610612748,75.0,93.0,0
353,2014-12-14,1610612740,1610612744,2014,1610612740,122.0,128.0,0
354,2014-12-15,1610612746,1610612765,2014,1610612746,113.0,91.0,1
355,2014-12-15,1610612757,1610612759,2014,1610612757,108.0,95.0,1
356,2014-12-15,1610612756,1610612749,2014,1610612756,94.0,96.0,0
357,2014-12-15,1610612761,1610612753,2014,1610612761,95.0,82.0,1
358,2014-12-15,1610612737,1610612741,2014,1610612737,93.0,86.0,1
359,2014-12-15,1610612755,1610612738,2014,1610612755,87.0,105.0,0
360,2014-12-15,1610612754,1610612747,2014,1610612754,110.0,91.0,1
361,2014-12-15,1610612739,1610612766,2014,1610612739,97.0,88.0,1
362,2014-12-16,1610612758,1610612760,2014,1610612758,92.0,104.0,0
363,2014-12-16,1610612752,1610612742,2014,1610612752,87.0,107.0,0
364,2014-12-16,1610612740,1610612762,2014,1610612740,119.0,111.0,1
365,2014-12-16,1610612763,1610612744,2014,1610612763,105.0,98.0,1
366,2014-12-16,1610612751,1610612748,2014,1610612751,91.0,95.0,0
367,2014-12-16,1610612764,1610612750,2014,1610612764,109.0,95.0,1
368,2014-12-17,1610612743,1610612745,2014,1610612743,111.0,115.0,0
